"id";"created_at";"updated_at";"usuario_id";"avaliacao_id";"entidade_id";"status"
6;2024-09-17 13:17:42.027 -0400;2024-10-22 08:39:03.498 -0400;11878;5;11187;F
18;2024-10-22 08:31:40.882 -0400;2024-10-22 16:23:19.179 -0400;11876;5;11176;F
2;2024-09-16 12:00:13.287 -0400;2024-10-29 14:32:24.712 -0400;11840;5;11165;F
3;2024-09-17 11:40:12.665 -0400;2024-10-29 15:43:07.751 -0400;11848;5;11178;F
16;2024-10-21 06:37:22.378 -0400;2024-10-23 10:20:47.757 -0400;11843;5;11173;F
1;2024-09-16 06:57:12.028 -0400;2024-10-29 07:48:59.822 -0400;11667;5;11302;F
20;2024-10-23 09:17:10.861 -0400;2024-10-25 17:48:34.636 -0400;11850;5;11184;F
5;2024-09-17 13:14:21.625 -0400;2024-10-29 16:46:39.236 -0400;11869;5;11188;F
4;2024-09-17 11:43:25.353 -0400;2024-10-29 09:41:47.457 -0400;11874;5;11168;F
19;2024-10-22 13:06:35.320 -0400;2024-10-29 09:53:46.399 -0400;11857;5;11183;F
86;2024-10-28 08:35:32.346 -0400;2024-10-29 17:34:54.859 -0400;11846;5;11177;F
17;2024-10-21 16:28:18.687 -0400;2024-10-24 14:57:15.713 -0400;11882;5;11169;F
15;2024-10-15 08:47:02.262 -0400;2024-10-29 17:34:59.747 -0400;11879;5;11181;F
13;2024-10-14 13:56:21.141 -0400;2024-10-30 13:19:29.286 -0400;11851;5;11172;F
9;2024-09-23 18:38:14.235 -0400;2024-10-29 10:28:29.567 -0400;11858;5;11179;F
7;2024-09-18 09:24:22.559 -0400;2024-10-24 21:31:11.767 -0400;11866;5;11180;F
53;2024-10-23 12:25:06.354 -0400;2024-10-28 12:05:00.837 -0400;11855;5;11170;F
11;2024-10-04 07:28:54.415 -0400;2024-11-01 09:18:31.681 -0400;11844;5;11171;F
14;2024-10-15 01:13:08.334 -0400;2024-11-01 13:14:47.439 -0400;11839;5;11167;F
10;2024-09-25 08:34:10.171 -0400;2024-10-29 14:27:27.708 -0400;11841;5;11166;F
